user_id,avg_session_duration,purchase_count,subscription_type,churned
1,6.06,2,Free,0
2,13.49,0,Premium,0
3,8.62,1,Free,0
4,16.51,0,Free,1
5,11.85,0,Free,1
6,17.43,2,Free,1
7,4.16,0,Free,1
8,9.54,3,Free,1
9,13.15,0,Free,1
10,6.46,1,Free,0
11,6.61,0,Free,0
12,9.38,0,Free,0
13,4.26,0,Free,1
14,8.1,1,Free,0
15,11.99,0,Free,0
16,13.69,2,Free,1
17,9.74,2,Free,0
18,5.97,1,Free,0
19,16.55,1,Free,0
20,8.74,1,Free,0
21,12.08,0,Free,1
22,26.19,1,Premium,0
23,11.13,2,Free,0
24,19.74,0,Premium,1
25,37.3,0,Premium,0
26,27.77,0,Premium,0
27,35.67,0,Premium,0
28,5.66,2,Free,0
29,24.36,3,Premium,0
30,7.32,0,Free,1
31,14.15,2,Free,1
32,16.35,1,Free,0
33,15.03,2,Free,0
34,16.32,0,Free,0
35,6.98,2,Free,0
36,11.97,0,Free,0
37,21.41,0,Premium,0
38,19.94,0,Premium,0
39,44.04,0,Premium,1
40,13.68,0,Free,1
41,26.12,1,Premium,0
42,16.16,1,Free,0
43,14.95,2,Premium,0
44,14.36,0,Free,1
45,12.6,1,Free,1
46,13.32,1,Free,1
47,29.82,2,Premium,0
48,34.23,2,Premium,0
49,12.78,0,Free,0
50,4.22,6,Free,1
51,4.2,2,Free,0
52,7.42,0,Free,0
53,8.98,1,Free,0
54,14.52,1,Free,1
55,14.28,0,Free,1
56,11.96,0,Free,0
57,29.62,2,Premium,0
58,14.29,0,Premium,0
59,14.78,0,Free,0
60,12.29,1,Free,0
61,26.88,0,Premium,0
62,6.68,1,Free,0
63,10.57,5,Free,0
64,10.65,0,Free,1
65,3.86,3,Free,1
66,7.2,3,Free,0
67,6.76,2,Free,0
68,10.59,0,Premium,0
69,8.23,1,Free,0
70,9.48,0,Free,0
71,13.24,0,Free,1
72,31.41,3,Premium,0
73,14.9,0,Free,1
74,23.51,0,Premium,0
75,12.84,2,Free,0
76,3.24,1,Free,0
77,30.64,2,Premium,0
78,7.58,2,Free,0
79,16.17,0,Free,1
80,13.39,0,Free,0
81,6.84,0,Free,0
82,13.01,2,Free,0
83,8.93,6,Free,1
84,13.72,2,Free,0
85,9.52,0,Free,1
86,26.84,2,Premium,0
87,12.78,1,Free,0
88,8.39,0,Free,1
89,12.5,3,Free,1
90,15.0,1,Free,0
91,5.81,0,Free,0
92,5.54,0,Free,1
93,16.45,0,Free,1
94,6.0,1,Free,1
95,10.55,2,Free,0
96,6.89,2,Free,1
97,17.18,0,Premium,0
98,5.91,1,Free,0
99,27.02,1,Premium,0
100,27.3,1,Premium,0
101,13.38,2,Free,0
102,8.66,1,Free,0
103,15.82,2,Free,0
104,10.64,1,Free,1
105,18.87,2,Premium,0
106,7.33,3,Free,0
107,17.0,0,Free,1
108,19.19,0,Free,1
109,4.43,2,Free,1
110,22.16,4,Premium,0
111,6.29,2,Free,1
112,9.5,3,Free,0
113,23.82,0,Premium,0
114,13.95,0,Free,0
115,23.15,0,Premium,0
116,12.21,0,Free,1
117,6.88,0,Free,0
118,39.69,0,Premium,0
119,11.77,3,Free,1
120,15.13,1,Free,0
121,10.6,0,Free,1
122,10.7,2,Free,0
123,6.15,1,Free,0
124,8.95,1,Free,1
125,10.68,2,Free,0
126,12.57,2,Free,0
127,25.29,4,Premium,0
128,7.11,0,Free,0
129,1.26,0,Free,1
130,29.78,0,Premium,0
131,12.81,2,Free,0
132,14.69,0,Free,1
133,8.58,0,Free,0
134,44.69,1,Premium,0
135,13.53,3,Free,0
136,19.08,4,Premium,0
137,14.27,1,Free,0
138,3.47,3,Free,0
139,11.94,1,Free,0
140,3.6,1,Free,0
141,12.3,1,Free,0
142,6.33,2,Free,1
143,11.3,0,Free,1
144,8.4,0,Free,0
145,7.75,0,Free,1
146,30.64,2,Premium,0
147,17.54,0,Free,0
148,9.06,0,Free,0
149,9.39,3,Free,0
150,10.76,1,Free,1
151,15.6,0,Free,1
152,13.59,2,Free,0
153,10.03,2,Free,0
154,9.45,4,Free,0
155,8.61,0,Free,0
156,8.29,0,Free,1
157,6.18,0,Free,1
158,17.34,2,Free,0
159,18.98,0,Free,1
160,5.58,3,Free,0
161,22.96,0,Premium,0
162,9.64,0,Free,1
163,8.38,1,Free,0
164,13.94,1,Free,0
165,24.04,1,Premium,0
166,12.38,0,Free,0
167,16.32,0,Free,1
168,12.36,2,Free,1
169,19.47,0,Free,0
170,3.76,0,Free,1
171,12.77,0,Free,1
172,11.79,0,Free,1
173,7.96,4,Free,0
174,12.29,0,Free,0
175,4.59,0,Free,1
176,13.14,3,Free,0
177,39.6,1,Premium,0
178,9.88,0,Free,0
179,13.02,1,Free,0
180,9.91,1,Free,0
181,15.33,2,Free,1
182,17.49,0,Premium,0
183,29.02,0,Premium,1
184,4.33,0,Free,1
185,10.95,1,Free,0
186,10.16,0,Free,1
187,12.15,1,Free,0
188,9.65,2,Free,1
189,32.94,2,Premium,0
190,23.14,0,Premium,0
191,7.25,0,Free,1
192,8.94,3,Free,0
193,8.48,0,Free,1
194,6.7,2,Free,0
195,17.91,1,Free,1
196,24.34,1,Premium,0
197,6.68,0,Free,0
198,13.08,1,Free,0
199,7.5,0,Free,1
200,29.44,2,Premium,0
201,11.48,0,Free,1
202,9.41,3,Free,0
203,17.67,1,Free,0
204,5.44,1,Free,1
205,13.54,2,Free,0
206,10.46,0,Free,1
207,37.61,0,Premium,1
208,8.32,1,Free,0
209,20.55,2,Premium,0
210,13.02,0,Free,0
211,10.72,0,Free,1
212,6.52,2,Free,0
213,14.18,1,Free,0
214,6.18,0,Free,0
215,8.97,0,Free,1
216,26.8,0,Premium,0
217,9.18,2,Free,1
218,20.91,0,Premium,0
219,10.78,6,Free,0
220,16.8,3,Free,0
221,12.74,0,Free,1
222,17.92,1,Free,1
223,14.66,0,Free,0
224,5.54,0,Free,0
225,25.26,2,Premium,0
226,6.16,2,Free,0
227,9.65,0,Free,1
228,7.98,1,Free,1
229,19.79,0,Free,0
230,2.53,2,Free,1
231,32.33,0,Premium,0
232,13.96,2,Free,0
233,20.52,2,Premium,0
234,13.57,0,Premium,1
235,9.36,1,Free,0
236,29.57,0,Premium,0
237,20.52,1,Premium,0
238,11.65,1,Free,0
239,13.24,2,Free,0
240,15.82,3,Free,0
241,12.92,1,Free,0
242,9.47,0,Free,1
243,11.76,4,Free,0
244,13.84,2,Free,0
245,15.17,0,Free,1
246,31.66,0,Premium,0
247,10.34,1,Free,0
248,10.68,1,Free,0
249,6.76,1,Free,0
250,13.39,3,Free,0
251,4.86,0,Free,1
252,10.63,2,Free,0
253,10.36,2,Free,1
254,6.75,2,Free,0
255,11.23,4,Free,0
256,6.22,0,Free,1
257,4.73,0,Free,1
258,32.3,3,Premium,0
259,5.82,2,Free,0
260,5.91,2,Free,0
261,11.86,2,Free,0
262,12.63,6,Free,0
263,8.36,0,Free,0
264,5.01,0,Free,0
265,7.24,0,Free,0
266,29.7,0,Premium,0
267,10.27,0,Free,1
268,3.9,0,Free,1
269,11.16,3,Free,0
270,6.5,0,Free,1
271,9.85,2,Free,0
272,19.84,2,Premium,0
273,13.52,1,Free,1
274,1.15,0,Free,1
275,11.6,1,Free,0
276,36.72,0,Premium,0
277,37.8,1,Premium,0
278,10.35,0,Free,0
279,7.07,1,Free,0
280,6.99,0,Free,0
281,11.38,0,Free,1
282,10.26,1,Free,0
283,4.42,2,Free,0
284,10.6,1,Free,0
285,5.77,0,Free,0
286,30.69,2,Premium,0
287,13.93,0,Free,1
288,6.26,1,Free,0
289,16.67,1,Free,0
290,7.15,0,Free,0
291,9.48,0,Free,0
292,5.22,0,Free,1
293,31.07,2,Premium,0
294,12.62,2,Free,0
295,11.26,2,Free,0
296,7.52,0,Free,1
297,12.2,0,Free,0
298,13.76,2,Free,1
299,12.65,1,Free,0
300,12.24,1,Free,0
301,11.26,0,Free,0
302,10.93,1,Free,1
303,9.31,3,Free,1
304,11.1,0,Free,0
305,11.81,2,Free,0
306,13.93,0,Free,0
307,11.93,3,Free,0
308,4.52,0,Free,1
309,7.26,1,Free,0
310,9.41,5,Free,1
311,15.24,0,Free,1
312,5.88,0,Free,1
313,21.33,1,Premium,0
314,8.79,0,Free,0
315,34.29,0,Premium,0
316,13.27,2,Free,0
317,9.96,2,Free,0
318,8.97,4,Free,0
319,9.0,0,Free,0
320,35.37,0,Premium,1
321,14.4,0,Free,1
322,31.14,0,Premium,0
323,9.95,0,Free,0
324,6.48,0,Free,0
325,14.19,0,Premium,0
326,9.77,4,Free,1
327,7.96,2,Free,1
328,2.72,1,Free,1
