purchase_id,user_id,purchase_time,product_category,order_value,payment_method
1,1,2024-12-25 19:51:00,Entertainment,67.9,Credit Card
2,1,2024-12-29 04:49:00,Entertainment,30.01,Credit Card
3,3,2024-07-23 10:13:00,Electronics,389.02,Debit Card
4,6,2025-02-23 20:46:00,Electronics,373.55,Debit Card
5,6,2025-02-23 20:36:00,Fashion,73.91,PayPal
6,8,2025-06-02 04:06:00,Food,94.92,PayPal
7,8,2025-06-02 04:17:00,Entertainment,92.33,UPI
8,8,2025-08-18 00:11:00,Food,442.67,PayPal
9,10,2024-12-27 11:56:00,Fashion,192.21,UPI
10,14,2024-06-28 04:13:00,Entertainment,201.52,UPI
11,16,2024-08-30 14:06:00,Entertainment,37.31,UPI
12,16,2024-12-06 05:52:00,Entertainment,302.86,UPI
13,17,2024-08-03 17:47:00,Fashion,422.34,Credit Card
14,17,2024-08-03 17:58:00,Electronics,157.52,Credit Card
15,18,2025-04-08 13:24:00,Entertainment,117.08,Debit Card
16,19,2024-05-26 14:25:00,Fashion,177.27,Debit Card
17,20,2025-10-10 18:09:00,Electronics,454.8,UPI
18,22,2024-10-22 19:40:00,Electronics,101.45,PayPal
19,23,2024-04-07 17:33:00,Electronics,131.79,Credit Card
20,23,2024-03-23 09:39:00,Entertainment,9.2,PayPal
21,28,2025-09-04 18:30:00,Fashion,78.27,Debit Card
22,28,2025-09-04 19:18:00,Fashion,59.68,Debit Card
23,29,2025-11-09 05:20:00,Fashion,116.45,Debit Card
24,29,2026-01-15 06:09:00,Fashion,397.66,Credit Card
25,29,2026-01-15 06:52:00,Fashion,354.46,Credit Card
26,31,2025-02-04 03:57:00,Entertainment,452.18,Credit Card
27,31,2025-02-04 03:55:00,Electronics,292.84,Credit Card
28,32,2026-03-09 00:54:00,Electronics,128.29,Debit Card
29,33,2025-10-17 08:48:00,Entertainment,189.14,PayPal
30,33,2025-09-01 21:46:00,Food,453.77,Credit Card
31,35,2024-12-21 06:24:00,Food,482.87,PayPal
32,35,2024-12-21 05:58:00,Food,82.86,PayPal
33,41,2024-10-13 21:27:00,Entertainment,63.7,Credit Card
34,42,2025-01-11 06:49:00,Entertainment,94.9,Debit Card
35,43,2025-02-04 10:22:00,Electronics,314.35,PayPal
36,43,2025-04-05 07:43:00,Entertainment,269.73,PayPal
37,45,2025-11-18 19:18:00,Fashion,122.34,UPI
38,46,2024-08-21 17:14:00,Fashion,329.37,Credit Card
39,47,2024-07-11 04:48:00,Electronics,440.36,Credit Card
40,47,2024-05-01 02:23:00,Entertainment,170.78,Credit Card
41,48,2024-03-12 22:48:00,Food,159.93,Credit Card
42,48,2024-03-12 22:30:00,Entertainment,490.8,Credit Card
43,50,2024-05-26 08:59:00,Electronics,307.28,Credit Card
44,50,2024-05-26 08:47:00,Food,317.76,Debit Card
45,50,2024-07-29 00:43:00,Food,149.65,PayPal
46,50,2024-07-29 00:46:00,Fashion,473.72,Debit Card
47,50,2024-07-30 10:05:00,Food,297.02,Debit Card
48,50,2024-07-30 09:32:00,Food,369.14,Debit Card
49,51,2025-06-03 13:45:00,Fashion,314.54,Credit Card
50,51,2025-06-03 13:41:00,Food,299.24,UPI
51,53,2024-11-27 08:22:00,Entertainment,372.89,UPI
52,54,2025-12-05 12:58:00,Food,461.95,PayPal
53,57,2024-12-30 23:36:00,Food,286.38,UPI
54,57,2025-01-17 04:48:00,Fashion,350.0,UPI
55,60,2025-12-01 08:14:00,Electronics,99.02,PayPal
56,62,2024-12-07 11:29:00,Electronics,457.69,Credit Card
57,63,2025-01-13 04:37:00,Food,396.64,Debit Card
58,63,2025-03-15 01:38:00,Entertainment,217.9,Debit Card
59,63,2025-03-11 22:50:00,Entertainment,206.57,PayPal
60,63,2025-03-11 22:57:00,Electronics,296.93,Credit Card
61,63,2025-01-01 15:47:00,Entertainment,63.48,Debit Card
62,65,2025-04-28 05:20:00,Food,273.47,PayPal
63,65,2025-04-28 05:16:00,Food,435.73,UPI
