session_id,user_id,session_start,session_end,session_duration_minutes,pages_viewed,platform
1,1,2024-12-11 03:55:00,2024-12-11 04:01:12.001465,6.2,3,Web
2,1,2024-12-25 19:29:00,2024-12-25 19:32:21.152130,3.35,1,Web
3,1,2024-12-11 22:56:00,2024-12-11 22:59:38.548577,3.64,1,Web
4,1,2024-12-29 03:59:00,2024-12-29 04:10:03.532528,11.06,5,Web
5,2,2025-06-13 23:39:00,2025-06-13 23:57:02.037028,18.03,9,Android
6,2,2025-06-22 21:46:00,2025-06-22 22:00:42.914318,14.72,7,Android
7,2,2025-04-28 23:27:00,2025-04-28 23:38:41.291583,11.69,5,Android
8,2,2025-04-06 07:17:00,2025-04-06 07:26:30.314536,9.51,4,Android
9,3,2024-07-12 19:50:00,2024-07-12 19:57:11.951038,7.2,3,iOS
10,3,2024-07-23 09:39:00,2024-07-23 09:49:02.312867,10.04,5,iOS
11,4,2024-10-21 18:44:00,2024-10-21 19:00:30.334071,16.51,8,Android
12,5,2024-03-26 19:44:00,2024-03-26 20:01:45.208435,17.75,8,iOS
13,5,2024-04-28 10:59:00,2024-04-28 11:17:21.189336,18.35,9,iOS
14,5,2024-03-03 14:05:00,2024-03-03 14:10:31.689783,5.53,2,iOS
15,5,2024-03-15 22:51:00,2024-03-15 22:55:37.170988,4.62,2,iOS
16,5,2024-04-20 07:43:00,2024-04-20 07:56:00.603202,13.01,6,iOS
17,6,2025-02-23 20:12:00,2025-02-23 20:29:25.778598,17.43,8,Android
18,7,2025-04-29 02:35:00,2025-04-29 02:40:21.999722,5.37,2,Android
19,7,2025-07-11 23:23:00,2025-07-11 23:27:33.393280,4.56,2,Android
20,7,2025-06-11 04:50:00,2025-06-11 04:52:32.269010,2.54,1,Android
21,8,2025-08-03 01:54:00,2025-08-03 02:03:30.644054,9.51,4,Android
22,8,2025-06-02 03:34:00,2025-06-02 03:48:18.189521,14.3,7,Android
23,8,2025-08-17 23:43:00,2025-08-17 23:54:10.758372,11.18,5,Android
24,8,2025-07-21 17:04:00,2025-07-21 17:07:09.897217,3.16,1,Android
25,9,2024-09-02 08:54:00,2024-09-02 09:08:17.715234,14.3,7,Android
26,9,2024-06-27 20:29:00,2024-06-27 20:47:04.800456,18.08,9,Android
27,9,2024-08-24 18:54:00,2024-08-24 19:09:32.584239,15.54,7,Android
28,9,2024-10-10 20:22:00,2024-10-10 20:25:09.832897,3.16,1,Android
29,9,2024-09-29 14:29:00,2024-09-29 14:38:47.604967,9.79,4,Android
30,9,2024-09-01 18:01:00,2024-09-01 18:14:09.585820,13.16,6,Android
31,9,2024-08-26 02:48:00,2024-08-26 03:05:59.750488,18.0,8,Android
32,10,2024-12-09 01:17:00,2024-12-09 01:21:24.634758,4.41,2,Android
33,10,2024-12-27 11:31:00,2024-12-27 11:39:29.855647,8.5,4,Android
34,11,2025-03-05 22:34:00,2025-03-05 22:40:36.478720,6.61,3,iOS
35,12,2024-04-07 08:40:00,2024-04-07 08:56:48.762042,16.81,8,Android
36,12,2024-04-27 08:10:00,2024-04-27 08:19:49.663357,9.83,4,Android
37,12,2024-04-03 23:14:00,2024-04-03 23:15:29.814790,1.5,0,Android
38,13,2025-01-19 18:51:00,2025-01-19 18:55:15.686874,4.26,2,Android
39,14,2024-06-28 03:36:00,2024-06-28 03:40:27.272508,4.45,2,iOS
40,14,2024-07-19 19:38:00,2024-07-19 19:50:06.151670,12.1,6,iOS
41,14,2024-05-15 22:33:00,2024-05-15 22:34:30.602824,1.51,0,iOS
42,14,2024-06-16 18:13:00,2024-06-16 18:27:20.923658,14.35,7,iOS
43,15,2025-04-22 04:45:00,2025-04-22 04:55:41.653106,10.69,5,Android
44,15,2025-05-10 19:36:00,2025-05-10 19:52:57.481371,16.96,8,Android
45,15,2025-05-07 16:52:00,2025-05-07 17:00:18.979355,8.32,4,Android
46,16,2024-11-15 23:46:00,2024-11-16 00:00:42.299865,14.7,7,Web
47,16,2024-09-15 06:10:00,2024-09-15 06:24:32.176506,14.54,7,Web
48,16,2024-11-05 16:54:00,2024-11-05 17:08:42.326991,14.71,7,Web
49,16,2024-08-30 13:10:00,2024-08-30 13:24:14.587728,14.24,7,Web
50,16,2024-11-08 21:42:00,2024-11-08 21:58:48.954035,16.82,8,Web
51,16,2024-12-06 05:10:00,2024-12-06 05:16:38.580813,6.64,3,Web
52,16,2024-11-21 10:44:00,2024-11-21 10:58:12.346130,14.21,7,Web
53,17,2024-05-31 01:34:00,2024-05-31 01:36:27.672466,2.46,1,iOS
54,17,2024-06-19 21:27:00,2024-06-19 21:44:24.870356,17.41,8,iOS
55,17,2024-08-03 17:43:00,2024-08-03 17:56:23.113348,13.39,6,iOS
56,17,2024-07-12 11:57:00,2024-07-12 12:02:42.220867,5.7,2,iOS
57,18,2025-03-15 09:41:00,2025-03-15 09:42:36.838027,1.61,0,Android
58,18,2025-02-16 11:47:00,2025-02-16 11:48:15.985410,1.27,0,Android
59,18,2025-01-12 01:56:00,2025-01-12 02:07:35.448937,11.59,5,Android
60,18,2025-02-05 03:29:00,2025-02-05 03:40:21.773279,11.36,5,Android
61,18,2025-04-08 12:55:00,2025-04-08 12:59:02.019957,4.03,2,Android
62,19,2024-05-26 14:14:00,2024-05-26 14:30:33.264062,16.55,8,Android
63,20,2025-12-07 03:48:00,2025-12-07 04:03:34.493027,15.57,7,Android
64,20,2025-11-25 07:00:00,2025-11-25 07:07:34.418999,7.57,3,Android
65,20,2025-10-31 10:17:00,2025-10-31 10:21:00.588023,4.01,2,Android
66,20,2025-10-10 17:59:00,2025-10-10 18:06:47.938777,7.8,3,Android
67,21,2025-10-30 00:12:00,2025-10-30 00:17:22.015787,5.37,2,Android
68,21,2026-02-21 00:10:00,2026-02-21 00:24:49.071513,14.82,7,Android
69,21,2026-01-22 21:08:00,2026-01-22 21:22:21.225929,14.35,7,Android
70,21,2025-12-25 03:59:00,2025-12-25 04:12:48.022052,13.8,6,Android
71,22,2024-10-28 09:59:00,2024-10-28 10:32:35.098091,33.58,16,iOS
72,22,2024-10-22 19:22:00,2024-10-22 19:37:50.399919,15.84,7,iOS
73,22,2024-10-04 15:45:00,2024-10-04 16:14:08.411505,29.14,14,iOS
74,23,2024-04-07 17:01:00,2024-04-07 17:18:29.198910,17.49,8,Web
75,23,2024-03-23 08:45:00,2024-03-23 08:49:46.083601,4.77,2,Web
