user_id,signup_date,acquisition_channel,device_type,country,age_group,subscription_type
1,2024-11-28,Referral,Web,Canada,45+,Free
2,2025-03-31,Google Ads,Android,UK,25-34,Premium
3,2024-07-11,Referral,iOS,USA,18-24,Free
4,2024-09-05,Referral,Android,UK,45+,Free
5,2024-01-11,Google Ads,iOS,UK,18-24,Free
6,2025-02-01,Instagram,Android,UK,18-24,Free
7,2025-04-13,Instagram,Android,India,35-44,Free
8,2025-05-15,Instagram,Android,UK,25-34,Free
9,2024-06-24,Organic,Android,India,45+,Free
10,2024-10-02,YouTube,Android,USA,45+,Free
11,2025-02-26,Referral,iOS,Canada,18-24,Free
12,2024-02-02,YouTube,Android,India,25-34,Free
13,2024-12-22,Google Ads,Android,Canada,25-34,Free
14,2024-04-23,Google Ads,iOS,UK,18-24,Free
15,2025-03-18,Referral,Android,Canada,18-24,Free
16,2024-08-21,Organic,Web,USA,25-34,Free
17,2024-04-25,Google Ads,iOS,Canada,18-24,Free
18,2024-12-28,YouTube,Android,UK,35-44,Free
19,2024-03-10,Google Ads,Android,India,45+,Free
20,2025-08-31,Google Ads,Android,USA,25-34,Free
21,2025-10-30,YouTube,Android,India,25-34,Free
22,2024-07-12,YouTube,iOS,USA,25-34,Premium
23,2024-03-15,Organic,Web,UK,18-24,Free
24,2025-06-18,Instagram,Android,India,18-24,Premium
25,2024-10-01,Organic,Android,Canada,25-34,Premium
26,2024-10-18,YouTube,Web,Canada,45+,Premium
27,2025-10-10,Referral,iOS,India,25-34,Premium
28,2025-07-13,YouTube,Android,UK,35-44,Free
29,2025-10-02,Referral,Web,India,18-24,Premium
30,2025-01-30,Instagram,Android,Canada,18-24,Free
31,2025-01-08,YouTube,Android,UK,25-34,Free
32,2025-11-12,Instagram,Android,USA,18-24,Free
33,2025-07-07,Google Ads,Android,USA,45+,Free
34,2025-05-22,Instagram,Web,UK,35-44,Free
35,2024-11-22,YouTube,iOS,India,45+,Free
36,2024-07-01,Organic,iOS,Canada,25-34,Free
37,2025-02-03,YouTube,iOS,UK,25-34,Premium
38,2025-04-14,Google Ads,Web,India,18-24,Premium
39,2024-04-23,Referral,Android,UK,35-44,Premium
40,2025-09-16,Organic,Android,UK,18-24,Free
41,2024-08-27,Google Ads,Android,USA,18-24,Premium
42,2024-11-01,Instagram,iOS,USA,45+,Free
43,2025-01-14,Referral,Android,Canada,18-24,Premium
44,2024-05-25,Instagram,Android,UK,35-44,Free
45,2025-11-07,YouTube,Web,UK,45+,Free
46,2024-07-01,Organic,iOS,India,25-34,Free
47,2024-04-29,Organic,iOS,Canada,18-24,Premium
48,2024-01-09,YouTube,Android,USA,25-34,Premium
49,2024-01-15,Instagram,Web,India,25-34,Free
50,2024-04-28,YouTube,Android,USA,45+,Free
51,2025-05-24,YouTube,iOS,India,45+,Free
52,2024-05-17,Google Ads,iOS,UK,35-44,Free
53,2024-08-09,Google Ads,iOS,Canada,45+,Free
54,2025-09-27,Organic,Web,India,35-44,Free
55,2025-04-17,Google Ads,Android,Canada,25-34,Free
56,2024-10-30,YouTube,Android,Canada,25-34,Free
57,2024-10-06,Google Ads,Web,UK,18-24,Premium
58,2024-10-07,Instagram,Android,USA,18-24,Premium
59,2025-06-24,YouTube,iOS,UK,18-24,Free
60,2025-08-28,Organic,Web,India,25-34,Free
61,2025-10-24,YouTube,Android,USA,18-24,Premium
62,2024-11-15,Referral,Android,USA,18-24,Free
63,2024-11-18,Organic,iOS,India,45+,Free
64,2025-08-19,YouTube,iOS,USA,45+,Free
65,2025-04-19,Referral,Web,USA,35-44,Free
66,2025-11-05,YouTube,iOS,India,25-34,Free
67,2025-12-12,YouTube,Web,USA,45+,Free
68,2025-03-16,Instagram,Android,UK,45+,Premium
69,2025-01-19,Google Ads,Android,Canada,45+,Free
70,2025-01-06,Organic,Android,USA,25-34,Free
71,2024-04-27,YouTube,Android,USA,35-44,Free
72,2024-07-17,Instagram,iOS,USA,45+,Premium
73,2025-09-09,Instagram,Android,India,45+,Free
74,2024-05-31,YouTube,Android,USA,18-24,Premium
75,2025-05-30,Instagram,Android,India,18-24,Free
76,2025-02-11,Organic,Android,UK,35-44,Free
77,2025-06-01,YouTube,iOS,USA,45+,Premium
78,2024-11-06,Referral,Web,UK,45+,Free
79,2025-04-17,Google Ads,Android,India,18-24,Free
80,2024-07-16,Referral,Web,Canada,25-34,Free
81,2025-01-14,Organic,Android,UK,18-24,Free
82,2025-05-05,Organic,Android,India,35-44,Free
83,2024-06-18,Organic,iOS,USA,18-24,Free
84,2024-11-29,Referral,Android,UK,45+,Free
85,2024-07-11,Referral,Android,India,25-34,Free
86,2025-08-21,Instagram,Android,UK,25-34,Premium
87,2025-03-25,Organic,iOS,USA,25-34,Free
88,2025-09-26,Referral,Web,India,45+,Free
89,2024-05-25,Organic,Android,India,25-34,Free
90,2024-06-18,Instagram,Android,UK,35-44,Free
91,2025-06-10,YouTube,Android,USA,45+,Free
92,2025-12-01,Instagram,Android,Canada,25-34,Free
93,2025-12-08,Google Ads,Android,India,18-24,Free
94,2024-09-03,Google Ads,iOS,USA,35-44,Free
95,2024-07-22,Instagram,Android,Canada,18-24,Free
96,2025-04-16,Organic,Web,USA,45+,Free
97,2024-12-19,YouTube,Android,India,35-44,Premium
98,2025-01-03,Referral,Web,USA,35-44,Free
99,2025-03-12,YouTube,Web,UK,25-34,Premium
100,2025-03-18,YouTube,Android,Canada,18-24,Premium
101,2025-08-31,YouTube,Android,USA,45+,Free
102,2024-09-20,YouTube,Android,USA,45+,Free
103,2024-08-13,Organic,Android,UK,35-44,Free
104,2024-01-03,Instagram,Android,UK,35-44,Free
105,2024-09-02,Instagram,iOS,Canada,45+,Premium
106,2024-01-12,Google Ads,Android,USA,18-24,Free
107,2024-08-08,Referral,iOS,India,35-44,Free
108,2025-01-05,YouTube,iOS,UK,25-34,Free
109,2025-09-20,Organic,Android,USA,25-34,Free
110,2024-11-28,Referral,Android,USA,35-44,Premium
111,2025-08-22,Referral,Android,India,35-44,Free
112,2024-07-03,Instagram,Android,Canada,25-34,Free
113,2025-02-12,Google Ads,iOS,USA,35-44,Premium
114,2024-08-06,Google Ads,Web,USA,18-24,Free
115,2025-05-27,Referral,iOS,Canada,45+,Premium
116,2025-08-23,Referral,Android,Canada,25-34,Free
117,2024-02-11,YouTube,iOS,Canada,45+,Free
118,2025-03-22,Referral,Android,India,25-34,Premium
119,2024-10-04,Google Ads,Web,USA,45+,Free
120,2025-03-09,Instagram,Android,India,25-34,Free
121,2025-04-14,Instagram,Android,UK,18-24,Free
122,2024-08-24,Organic,Android,UK,25-34,Free
123,2024-01-10,YouTube,Web,USA,45+,Free
124,2025-05-21,Instagram,Web,USA,18-24,Free
125,2024-10-15,Google Ads,Android,Canada,35-44,Free
126,2024-09-08,Organic,Android,UK,35-44,Free
127,2025-10-06,Organic,iOS,UK,35-44,Premium
128,2024-07-29,Google Ads,Android,UK,25-34,Free
129,2025-11-11,Referral,Android,UK,25-34,Free
130,2025-10-30,YouTube,iOS,UK,25-34,Premium
131,2024-12-05,YouTube,Android,India,18-24,Free
132,2024-01-05,Organic,iOS,Canada,35-44,Free
133,2025-02-20,Organic,Android,UK,35-44,Free
134,2025-05-13,YouTube,Android,Canada,25-34,Premium
135,2024-12-24,YouTube,iOS,UK,25-34,Free
136,2024-12-12,Google Ads,Web,India,25-34,Premium
137,2025-08-22,Referral,Android,Canada,25-34,Free
138,2025-08-07,Google Ads,iOS,UK,25-34,Free
139,2024-01-10,Organic,Android,India,45+,Free
140,2025-07-14,Instagram,iOS,USA,45+,Free
141,2025-03-31,Google Ads,Android,UK,18-24,Free
142,2024-11-09,YouTube,iOS,India,35-44,Free
143,2024-06-02,Organic,Android,USA,35-44,Free
144,2025-06-18,Referral,Web,USA,35-44,Free
145,2024-05-29,Google Ads,Android,Canada,25-34,Free
146,2025-03-21,Instagram,iOS,India,18-24,Premium
147,2024-05-07,Google Ads,iOS,USA,18-24,Free
148,2025-11-06,YouTube,Android,USA,25-34,Free
149,2025-04-24,Google Ads,Android,Canada,25-34,Free
150,2025-02-06,Instagram,iOS,USA,45+,Free
151,2025-03-09,Organic,Android,India,18-24,Free
152,2024-11-19,YouTube,Android,UK,35-44,Free
153,2024-05-22,YouTube,iOS,USA,35-44,Free
154,2025-10-29,Google Ads,Android,UK,18-24,Free
155,2024-07-27,Referral,iOS,UK,25-34,Free
156,2025-12-10,Organic,iOS,USA,35-44,Free
157,2024-05-28,Google Ads,Android,UK,35-44,Free
158,2024-10-09,Organic,Android,Canada,45+,Free
159,2025-04-07,Instagram,Android,Canada,18-24,Free
160,2025-05-26,YouTube,iOS,USA,25-34,Free
161,2024-04-18,YouTube,Android,India,35-44,Premium
162,2025-10-24,Instagram,Android,India,18-24,Free
163,2025-08-04,Organic,Android,India,25-34,Free
164,2025-12-18,Referral,Android,USA,35-44,Free
165,2024-09-10,YouTube,Web,Canada,25-34,Premium
166,2024-12-11,YouTube,Android,Canada,45+,Free
167,2025-01-26,Google Ads,Web,Canada,45+,Free
168,2025-02-09,Organic,Web,India,18-24,Free
169,2025-04-06,Organic,Android,Canada,18-24,Free
170,2025-11-07,Instagram,iOS,UK,45+,Free
171,2025-05-26,Google Ads,Android,Canada,35-44,Free
172,2024-10-30,YouTube,iOS,USA,35-44,Free
173,2025-11-28,Google Ads,Android,UK,35-44,Free
174,2025-11-22,YouTube,Android,Canada,18-24,Free
175,2024-08-05,YouTube,Android,USA,18-24,Free
176,2025-12-09,Google Ads,Android,India,45+,Free
177,2024-11-01,Organic,Android,UK,25-34,Premium
178,2025-11-04,Google Ads,Android,Canada,45+,Free
179,2024-09-30,YouTube,Android,USA,45+,Free
180,2025-01-14,Instagram,Android,USA,35-44,Free
181,2025-04-04,Instagram,Android,India,35-44,Free
182,2024-02-03,Google Ads,Web,Canada,45+,Premium
183,2025-02-04,YouTube,iOS,Canada,35-44,Premium
184,2024-09-01,Google Ads,iOS,Canada,45+,Free
185,2025-11-12,YouTube,iOS,USA,18-24,Free
186,2024-05-01,Organic,iOS,UK,18-24,Free
187,2024-10-09,Google Ads,iOS,India,35-44,Free
188,2024-08-20,YouTube,Web,Canada,45+,Free
189,2024-02-25,Organic,iOS,Canada,35-44,Premium
190,2025-06-11,Google Ads,Android,UK,25-34,Premium
191,2024-12-27,Referral,Web,India,45+,Free
192,2025-11-17,Instagram,Android,USA,25-34,Free
193,2024-05-27,Referral,Android,USA,35-44,Free
194,2025-05-20,Referral,iOS,UK,25-34,Free
195,2025-09-04,Instagram,iOS,India,18-24,Free
196,2025-06-21,Instagram,Android,India,25-34,Premium
